,Angle,HorizontalRange,MaximumHeight,TimeofFlight
86,8.6,75.43572705205271,2.852145272809714,1.5258708514664236
87,8.700000000000001,76.28591639185885,2.9183463956456084,1.543477757624686
88,8.8,77.13517621184809,2.985289043817156,1.561079962082021
89,8.9,77.98349616405757,3.052972401649317,1.578677411219062
90,9.0,78.83086591197637,3.1213956444417366,1.5962700514309272
91,9.1,79.67727513067157,3.190557938478792,1.6138578291273828
92,9.200000000000001,80.5227135069139,3.260458441039761,1.6314406907330088
93,9.3,81.36717073930356,3.3310963004090746,1.6490185826873582
94,9.4,82.21063653839568,3.402470655886712,1.666591451445125
95,9.5,83.05310062682567,3.474580637798672,1.6841592434763024
96,9.600000000000001,83.89455273943449,3.547425367507586,1.7017219052663497
97,9.700000000000001,84.73498262339369,3.6210039574234063,1.7192793833163527
98,9.8,85.57438003833036,3.69531551101424,1.7368316241431894
99,9.9,86.4127347564519,3.770359122817252,1.7543785742796891
100,10.0,87.25003656267059,3.846133878449719,1.7719201802747993
101,10.100000000000001,88.08627525472824,3.9226388546201583,1.7894563886937462
102,10.200000000000001,88.9214406433202,3.9998731191395733,1.806987146118197
103,10.3,89.75552255221986,4.077835730932828,1.8245123991464247
104,10.4,90.5885108184023,4.156525740050098,1.8420320943934692
105,10.5,91.42039529216844,4.235942187678461,1.8595461784913008
106,10.600000000000001,92.25116583726845,4.316084106153558,1.877054598088981
107,10.700000000000001,93.08081233102543,4.396950518971411,1.8945572998528288
108,10.8,93.90932466445865,4.478540440800292,1.9120542304665775
109,10.9,94.73669274240685,4.56085287749276,1.929545336631544
110,11.0,95.562906483651,4.643886826097742,1.9470305650667836
111,11.100000000000001,96.38795582103754,4.727641274872783,1.9645098625092594
112,11.200000000000001,97.21183070160053,4.8121152032963534,1.9819831757139992
113,11.3,98.0345210866846,4.897307582080299,1.9994504514542621
114,11.4,98.8560169520671,4.983217373182366,2.0169116365216957
115,11.5,99.67630828808002,5.069843529818855,2.0343666777265015
116,11.600000000000001,100.49538509973243,5.1571849964773975,2.051815521897599
117,11.700000000000001,101.31323740683177,5.2452407089297735,2.0692581158827803
118,11.8,102.12985524410585,5.3340095942449235,2.086694406548881
119,11.9,102.94522866132397,5.423490570801991,2.1041243407819348
120,12.0,103.7593477234184,5.513682548303512,2.1215478654873396
121,12.100000000000001,104.5722025106053,5.604584427788711,2.138964927590018
122,12.200000000000001,105.38378311850555,5.696195101646867,2.156375474034578
123,12.3,106.1940796582656,5.788513453630833,2.1737794517854754
124,12.4,107.00308225667781,5.88153835887062,2.1911768078271754
125,12.5,107.81078105630088,5.975268683887118,2.208567489164315
126,12.600000000000001,108.61716621557976,6.069703286605899,2.225951442821863
127,12.700000000000001,109.4222279089658,6.164841016371123,2.243328615845281
128,12.8,110.22595632703629,6.260680713959578,2.260698955300686
129,12.9,111.02834167661415,6.357221211594802,2.278062408275014
130,13.0,111.82937418088707,6.454461332961288,2.2954189218761734
131,13.100000000000001,112.62904407952684,6.55239989321885,2.3127684432332147
132,13.200000000000001,113.42734162880801,6.651035699017035,2.330110919496487
133,13.3,114.22425710172698,6.750367548509684,2.3474462978378003
134,13.4,115.01978078812009,6.850394231369548,2.364774525450585
135,13.5,115.81390299478234,6.951114528803069,2.382095549550055
136,13.600000000000001,116.60661404558525,7.0525272135652095,2.3994093173733675
137,13.700000000000001,117.3979042815948,7.1546310499744035,2.416715776179782
138,13.8,118.1877640611892,7.2574247939276315,2.434014873250825
139,13.9,118.97618376017631,7.360907192915562,2.451306555890446
140,14.0,119.76315377191091,7.465076986037824,2.468590771425181
141,14.100000000000001,120.54866450741173,7.569932904018353,2.4858674672043115
142,14.200000000000001,121.33270639547837,7.675473669220886,2.5031365906000262
143,14.3,122.11526988280784,7.781697995664506,2.5203980890075806
144,14.4,122.89634543411104,7.888604589039311,2.5376519098454566
145,14.5,123.67592353222884,7.996192146722208,2.5548980005555246
146,14.600000000000001,124.45399467824812,8.10445935779275,2.5721363086032003
147,14.700000000000001,125.23054939161756,8.213404903049145,2.5893667814776085
148,14.8,126.00557821026297,8.323027455024294,2.6065893666917397
